date,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
2009-11-20,58.3,58.3,,,,,,,,,,,,
2009-11-23,58.3,58.3,,,,,,,,,,,,
2009-11-24,58.3,58.3,,,,,,,,,,,,
2009-11-25,58.3,58.3,,,,,,,,,,,,
2009-11-26,58.3,58.3,,,,,,,,,,,,
2009-11-27,58.3,58.3,,,,,,,,,,,,
2009-11-30,58.3,58.3,,,,,,,,,,,,
2009-12-01,58.3,58.3,,,,,,,,,,,,
2009-12-02,58.3,58.3,,,,,,,,,,,,
2009-12-03,58.3,58.3,,,,,,,,,,,,
2009-12-04,58.3,58.3,,,,,,,,,,,,
2009-12-07,127.0,58.3,,,,,,,,,,,,
2009-12-08,127.0,58.3,,,,,,,,,,,,
2009-12-09,127.0,58.3,,,,,,,,,,,,
2009-12-10,127.0,58.3,,,,,,,,,,,,
2009-12-11,127.0,58.3,,,,,,,,,,,,
2009-12-14,127.0,58.3,,,,,,,,,,,,
2009-12-15,127.0,58.3,,,,,,,,,,,,
2009-12-16,127.0,58.3,,,,,,,,,,,,
2009-12-17,127.0,58.3,,,,,,,,,,,,
2009-12-18,127.0,58.3,,,,,,,,,,,,
2009-12-21,127.0,58.3,,,,,,,,,,,,
2009-12-22,127.0,58.3,,,,,,,,,,,,
2009-12-23,127.0,58.3,,,,,,,,,,,,
2009-12-24,127.0,58.3,,,,,,,,,,,,
2009-12-29,127.0,58.3,,,,,,,,,,,,
2009-12-30,127.0,58.3,,,,,,,,,,,,
2009-12-31,127.0,58.3,,,,,,,,,,,,
2010-01-05,122.1,58.3,,,,,,,,,,,,
2010-01-06,122.1,58.3,,,,,,,,,,,,
2010-01-07,122.1,58.3,,,,,,,,,,,,
2010-01-08,122.1,58.3,,,,,,,,,,,,
2010-01-11,122.1,58.3,,,,,,,,,,,,
2010-01-12,122.1,58.3,,,,,,,,,,,,
2010-01-13,122.1,58.3,,,,,,,,,,,,
2010-01-14,122.1,58.3,,,,,,,,,,,,
2010-01-15,122.1,58.3,,,,,,,,,,,,
2010-01-18,122.1,58.3,,,,,,,,,,,,
2010-01-19,122.1,58.3,,,,,,,,,,,,
2010-01-20,122.1,58.3,,,,,,,,,,,,
2010-01-21,122.1,58.3,,,,,,,,,,,,
2010-01-22,122.1,58.3,,,,,,,,,,,,
2010-01-25,122.1,58.3,,,,,,,,,,,,
2010-01-26,122.1,58.3,,,,,,,,,,,,
2010-01-27,122.1,58.3,,,,,,,,,,,,
2010-01-28,122.1,58.3,,,,,,,,,,,,
2010-01-29,122.1,58.3,,,,,,,,,,,,
2010-02-01,122.1,58.3,,,,,,,,,,,,
2010-02-02,122.1,58.3,,,,,,,,,,,,
2010-02-03,122.1,58.3,,,,,,,,,,,,
2010-02-04,122.1,58.3,,,,,,,,,,,,
2010-02-05,122.1,58.3,,,,,,,,,,,,
2010-02-08,122.1,58.3,,,,,,,,,,,,
2010-02-09,122.1,58.3,,,,,,,,,,,,
2010-02-10,122.1,58.3,,,,,,,,,,,,
2010-02-11,122.1,58.3,,,,,,,,,,,,
2010-02-12,122.1,58.3,,,,,,,,,,,,
2010-02-15,122.1,58.3,,,,,,,,,,,,
2010-02-16,122.1,58.3,,,,,,,,,,,,
2010-02-17,122.1,58.3,,,,,,,,,,,,
2010-02-18,122.1,58.3,,,,,,,,,,,,
2010-02-19,122.1,58.3,,,,,,,,,,,,
2010-02-22,122.1,58.3,,,,,,,,,,,,
2010-02-23,122.1,58.3,,,,,,,,,,,,
2010-02-24,122.1,58.3,,,,,,,,,,,,
2010-02-25,122.1,58.3,,,,,,,,,,,,
2010-02-26,121.1,59.2,,,,,,,,,,,,
2010-03-01,121.1,59.2,,,,,,,,,,,,
2010-03-02,121.1,59.2,,,,,,,,,,,,
2010-03-03,121.1,59.2,,,,,,,,,,,,
2010-03-04,121.1,59.2,,,,,,,,,,,,
2010-03-05,121.1,59.2,,,,,,,,,,,,
2010-03-08,121.1,59.2,,,,,,,,,,,,
2010-03-09,121.1,59.2,,,,,,,,,,,,
2010-03-10,121.1,59.2,,,,,,,,,,,,
2010-03-11,121.1,59.2,,,,,,,,,,,,
2010-03-12,121.1,59.2,,,,,,,,,,,,
2010-03-15,121.1,59.2,,,,,,,,,,,,
2010-03-16,121.1,59.2,,,,,,,,,,,,
2010-03-17,121.1,59.2,,,,,,,,,,,,
2010-03-18,121.1,59.2,,,,,,,,,,,,
2010-03-19,121.1,59.2,,,,,,,,,,,,
2010-03-22,121.1,59.2,,,,,,,,,,,,
2010-03-23,121.1,59.2,,,,,,,,,,,,
2010-03-24,121.1,59.2,,,,,,,,,,,,
2010-03-25,121.1,59.2,,,,,,,,,,,,
2010-03-26,121.1,59.2,,,,,,,,,,,,
2010-03-29,121.1,59.2,,,,,,,,,,,,
2010-03-30,121.1,59.2,,,,,,,,,,,,
2010-03-31,121.1,59.2,,,,,,,,,,,,
2010-04-01,121.1,59.2,,,,,,,,,,,,
2010-04-06,121.1,59.2,,,,,,,,,,,,
2010-04-07,121.1,59.2,,,,,,,,,,,,
2010-04-08,121.1,59.2,,,,,,,,,,,,
2010-04-09,121.1,59.2,,,,,,,,,,,,
2010-04-12,121.1,59.2,,,,,,,,,,,,
2010-04-13,121.1,62.3,,,,,,,,,,,,
2010-04-14,121.1,62.3,,,,,,,,,,,,
2010-04-15,121.1,62.3,,,,,,,,,,,,
2010-04-16,121.1,62.3,,,,,,,,,,,,
2010-04-19,121.1,62.3,,,,,,,,,,,,
2010-04-20,121.1,62.3,,,,,,,,,,,,
2010-04-21,121.1,62.3,,,,,,,,,,,,
2010-04-22,121.1,62.3,,,,,,,,,,,,
2010-04-23,121.1,62.3,,,,,,,,,,,,
2010-04-26,121.1,62.3,,,,,,,,,,,,
2010-04-27,121.1,62.3,,,,,,,,,,,,
2010-04-28,121.1,62.3,,,,,,,,,,,,
2010-04-29,121.1,62.3,,,,,,,,,,,,
2010-04-30,121.1,62.3,,,,,,,,,,,,
2010-05-03,121.1,62.3,,,,,,,,,,,,
2010-05-04,121.1,62.3,,,,,,,,,,,,
2010-05-05,121.1,62.3,,,,,,,,,,,,
2010-05-06,121.1,62.3,,,,,,,,,,,,
2010-05-07,121.1,62.3,,,,,,,,,,,,
2010-05-10,121.1,62.3,,,,,,,,,,,,
2010-05-11,121.1,62.3,,,,,,,,,,,,
2010-05-12,121.1,62.3,,,,,,,,,,,,
2010-05-13,121.1,62.3,,,,,,,,,,,,
2010-05-14,121.1,62.3,,,,,,,,,,,,
2010-05-17,121.1,62.3,,,,,,,,,,,,
2010-05-18,121.1,62.3,,,,,,,,,,,,
2010-05-19,121.1,62.3,,,,,,,,,,,,
2010-05-20,121.1,62.3,,,,,,,,,,,,
2010-05-21,121.1,62.3,,,,,,,,,,,,
2010-05-24,121.1,62.3,,,,,,,,,,,,
2010-05-25,121.1,62.3,,,,,,,,,,,,
2010-05-26,121.1,62.3,,,,,,,,,,,,
2010-05-27,121.1,62.3,,,,,,,,,,,,
2010-05-28,121.1,62.3,,,,,,,,,,,,
2010-05-31,121.1,62.3,,,,,,,,,,,,
2010-06-01,121.1,62.3,,,,,,,,,,,,
2010-06-02,121.1,62.3,,,,,,,,,,,,
2010-06-03,121.1,62.3,,,,,,,,,,,,
2010-06-04,121.1,62.3,,,,,,,,,,,,
2010-06-07,121.1,62.3,,,,,,,,,,,,
2010-06-08,121.1,62.3,,,,,,,,,,,,
2010-06-09,121.1,62.3,,,,,,,,,,,,
2010-06-10,121.1,62.3,,,,,,,,,,,,
2010-06-11,121.1,62.3,,,,,,,,,,,,
2010-06-14,121.1,62.3,,,,,,,,,,,,
