date,2013Q3,2013Q4,2014Q1,2014Q2,2014Q3,2014Q4,2015Q1,2015Q2,2015Q3,2015Q4,2016Q1,2016Q2,2016Q3,2016Q4
2009-11-20,71.5,71.5,,,,,,,,,,,,
2009-11-23,71.5,71.5,,,,,,,,,,,,
2009-11-24,71.5,71.5,,,,,,,,,,,,
2009-11-25,71.5,71.5,,,,,,,,,,,,
2009-11-26,71.5,71.5,,,,,,,,,,,,
2009-11-27,71.5,71.5,,,,,,,,,,,,
2009-11-30,71.5,71.5,,,,,,,,,,,,
2009-12-01,71.5,71.5,,,,,,,,,,,,
2009-12-02,71.5,71.5,,,,,,,,,,,,
2009-12-03,71.5,71.5,,,,,,,,,,,,
2009-12-04,71.5,71.5,,,,,,,,,,,,
2009-12-07,101.0,71.5,,,,,,,,,,,,
2009-12-08,101.0,71.5,,,,,,,,,,,,
2009-12-09,101.0,71.5,,,,,,,,,,,,
2009-12-10,101.0,71.5,,,,,,,,,,,,
2009-12-11,101.0,71.5,,,,,,,,,,,,
2009-12-14,101.0,71.5,,,,,,,,,,,,
2009-12-15,101.0,71.5,,,,,,,,,,,,
2009-12-16,101.0,71.5,,,,,,,,,,,,
2009-12-17,101.0,71.5,,,,,,,,,,,,
2009-12-18,101.0,71.5,,,,,,,,,,,,
2009-12-21,101.0,71.5,,,,,,,,,,,,
2009-12-22,101.0,71.5,,,,,,,,,,,,
2009-12-23,101.0,71.5,,,,,,,,,,,,
2009-12-24,101.0,71.5,,,,,,,,,,,,
2009-12-29,101.0,71.5,,,,,,,,,,,,
2009-12-30,101.0,71.5,,,,,,,,,,,,
2009-12-31,101.0,71.5,,,,,,,,,,,,
2010-01-05,101.0,71.5,,,,,,,,,,,,
2010-01-06,101.0,71.5,,,,,,,,,,,,
2010-01-07,101.0,71.5,,,,,,,,,,,,
2010-01-08,101.0,71.5,,,,,,,,,,,,
2010-01-11,101.0,71.5,,,,,,,,,,,,
2010-01-12,101.0,71.5,,,,,,,,,,,,
2010-01-13,101.0,71.5,,,,,,,,,,,,
2010-01-14,101.0,71.5,,,,,,,,,,,,
2010-01-15,101.0,71.5,,,,,,,,,,,,
2010-01-18,101.0,71.5,,,,,,,,,,,,
2010-01-19,101.0,71.5,,,,,,,,,,,,
2010-01-20,101.0,71.5,,,,,,,,,,,,
2010-01-21,101.0,71.5,,,,,,,,,,,,
2010-01-22,101.0,71.5,,,,,,,,,,,,
2010-01-25,101.0,71.5,,,,,,,,,,,,
2010-01-26,101.0,71.5,,,,,,,,,,,,
2010-01-27,101.0,71.5,,,,,,,,,,,,
2010-01-28,101.0,71.5,,,,,,,,,,,,
2010-01-29,101.0,71.5,,,,,,,,,,,,
2010-02-01,101.0,71.5,,,,,,,,,,,,
2010-02-02,101.0,71.5,,,,,,,,,,,,
2010-02-03,101.0,71.5,,,,,,,,,,,,
2010-02-04,101.0,71.5,,,,,,,,,,,,
2010-02-05,101.0,71.5,,,,,,,,,,,,
2010-02-08,101.0,71.5,,,,,,,,,,,,
2010-02-09,101.0,71.5,,,,,,,,,,,,
2010-02-10,101.0,71.5,,,,,,,,,,,,
2010-02-11,101.0,71.5,,,,,,,,,,,,
2010-02-12,101.0,71.5,,,,,,,,,,,,
2010-02-15,101.0,71.5,,,,,,,,,,,,
2010-02-16,101.0,71.5,,,,,,,,,,,,
2010-02-17,101.0,71.5,,,,,,,,,,,,
2010-02-18,101.0,71.5,,,,,,,,,,,,
2010-02-19,101.0,71.5,,,,,,,,,,,,
2010-02-22,101.0,71.5,,,,,,,,,,,,
2010-02-23,101.0,71.5,,,,,,,,,,,,
2010-02-24,101.0,71.5,,,,,,,,,,,,
2010-02-25,101.0,71.5,,,,,,,,,,,,
2010-02-26,101.0,71.5,,,,,,,,,,,,
2010-03-01,101.0,71.5,,,,,,,,,,,,
2010-03-02,101.0,71.5,,,,,,,,,,,,
2010-03-03,101.0,71.5,,,,,,,,,,,,
2010-03-04,101.0,71.5,,,,,,,,,,,,
2010-03-05,101.0,71.5,,,,,,,,,,,,
2010-03-08,101.0,71.5,,,,,,,,,,,,
2010-03-09,101.0,71.5,,,,,,,,,,,,
2010-03-10,101.0,71.5,,,,,,,,,,,,
2010-03-11,101.0,71.5,,,,,,,,,,,,
2010-03-12,101.0,71.5,,,,,,,,,,,,
2010-03-15,101.0,71.5,,,,,,,,,,,,
2010-03-16,101.0,71.5,,,,,,,,,,,,
2010-03-17,101.0,71.5,,,,,,,,,,,,
